"시도코드","시도명","시군구코드","시군구명","읍면동코드","읍면동명","기준연도","연도","과거대비인구변화","최근인구변화","과거대비사업체변화","최근사업체변화","노후건축물비율"
"11",서울특별시,"11110",서울특별시 종로구,"11010530",사직동,"2024","2024",-16.39308542,5,-1.482479784,2,78.60843819
"11",서울특별시,"11110",서울특별시 종로구,"11010540",삼청동,"2024","2024",-13.70358879,5,-6.598691805,3,81.80535966
"11",서울특별시,"11110",서울특별시 종로구,"11010550",부암동,"2024","2024",-71.39534884,5,0.202020202,1,78.42105263
"11",서울특별시,"11110",서울특별시 종로구,"11010560",평창동,"2024","2024",-28.33333333,5,1.016949153,1,78.86557887
"11",서울특별시,"11110",서울특별시 종로구,"11010570",무악동,"2024","2024",-4.272303109,5,0.775193798,2,78.68470149
"11",서울특별시,"11110",서울특별시 종로구,"11010580",교남동,"2024","2024",-37.69051322,5,-2.688172043,2,52.27272727
"11",서울특별시,"11110",서울특별시 종로구,"11010600",가회동,"2024","2024",-17.63911171,5,-6.446280992,2,73.46570397
"11",서울특별시,"11110",서울특별시 종로구,"11010610",종로1.2.3.4가동,"2024","2024",-57.09140981,5,-0.724637681,1,78.66894198
"11",서울특별시,"11110",서울특별시 종로구,"11010630",종로5.6가동,"2024","2024",-10.25602635,4,-11.31496826,3,76.57841141
"11",서울특별시,"11110",서울특별시 종로구,"11010640",이화동,"2024","2024",-64.35455607,2,-12.62135922,3,89.27203065
"11",서울특별시,"11110",서울특별시 종로구,"11010670",창신1동,"2024","2024",-58.99100082,4,4.016538689,2,86.79060665
"11",서울특별시,"11110",서울특별시 종로구,"11010680",창신2동,"2024","2024",-8.776146883,5,0.537153089,1,85.81039755
"11",서울특별시,"11110",서울특별시 종로구,"11010690",창신3동,"2024","2024",-60.09920808,5,-17.57425743,3,93.1372549
"11",서울특별시,"11110",서울특별시 종로구,"11010700",숭인1동,"2024","2024",-63.38727386,5,-5.953488372,2,91.54929577
"11",서울특별시,"11110",서울특별시 종로구,"11010710",숭인2동,"2024","2024",-45.24551503,5,-4.5,1,91.39784946
"11",서울특별시,"11110",서울특별시 종로구,"11010720",청운효자동,"2024","2024",-54.18591458,3,-3.905160391,1,89.49275362
"11",서울특별시,"11110",서울특별시 종로구,"11010730",혜화동,"2024","2024",-34.94377035,1,-3.532959931,2,83.6970475
"11",서울특별시,"11140",서울특별시 중구,"11020520",소공동,"2024","2024",-30.28571429,3,-16.02071799,1,82.77945619
"11",서울특별시,"11140",서울특별시 중구,"11020540",회현동,"2024","2024",-49.22164566,5,-16.82343719,3,91.02402023
"11",서울특별시,"11140",서울특별시 중구,"11020550",명동,"2024","2024",-27.16781036,5,-13.71446103,3,85.8649789
"11",서울특별시,"11140",서울특별시 중구,"11020570",필동,"2024","2024",-49.94389727,2,-6.132833423,3,86.55980271
"11",서울특별시,"11140",서울특별시 중구,"11020580",장충동,"2024","2024",-41.74699512,5,-9.69581749,3,91.36363636
"11",서울특별시,"11140",서울특별시 중구,"11020590",광희동,"2024","2024",-37.33258929,1,-17.2051233,3,90.96722622
"11",서울특별시,"11140",서울특별시 중구,"11020600",을지로동,"2024","2024",-64.76432044,2,-16.82733607,3,94.85559567
"11",서울특별시,"11140",서울특별시 중구,"11020650",신당5동,"2024","2024",-44.6024264,4,-14.45392994,2,92.21757322
"11",서울특별시,"11140",서울특별시 중구,"11020670",황학동,"2024","2024",-18.26812602,5,0.985707245,1,86.31921824
"11",서울특별시,"11140",서울특별시 중구,"11020680",중림동,"2024","2024",-30.10241883,5,0.746268657,1,87.01298701
"11",서울특별시,"11140",서울특별시 중구,"11020690",신당동,"2024","2024",-19.94806136,5,0.981193786,0,92.53996448
"11",서울특별시,"11140",서울특별시 중구,"11020700",다산동,"2024","2024",-37.80238817,5,3.62080316,1,80.40268456
"11",서울특별시,"11140",서울특별시 중구,"11020710",약수동,"2024","2024",-27.82384901,5,-2.938901779,3,76.33587786
"11",서울특별시,"11140",서울특별시 중구,"11020720",청구동,"2024","2024",-40.77060046,2,-3.820135296,2,87.10021322
"11",서울특별시,"11140",서울특별시 중구,"11020730",동화동,"2024","2024",-34.41116406,3,-6.235912847,2,79.63340122
"11",서울특별시,"11170",서울특별시 용산구,"11030510",후암동,"2024","2024",-30.74265239,5,-4.843517139,2,86.97339246
"11",서울특별시,"11170",서울특별시 용산구,"11030520",용산2가동,"2024","2024",-55.88929001,5,-20.04357298,2,88.77043355
"11",서울특별시,"11170",서울특별시 용산구,"11030530",남영동,"2024","2024",-37.75706323,5,-14.93794326,2,95.16587678
"11",서울특별시,"11170",서울특별시 용산구,"11030570",원효로2동,"2024","2024",-14.50941347,5,-1.614310646,1,86.57640232
"11",서울특별시,"11170",서울특별시 용산구,"11030580",효창동,"2024","2024",14.98217331,1,-22.87308229,3,82.5590872
"11",서울특별시,"11170",서울특별시 용산구,"11030590",용문동,"2024","2024",-25.7442395,5,-23.46876895,3,83.46915017
"11",서울특별시,"11170",서울특별시 용산구,"11030630",이촌1동,"2024","2024",-16.54657746,2,4.457652303,2,70.17241379
"11",서울특별시,"11170",서울특별시 용산구,"11030640",이촌2동,"2024","2024",-26.86899536,5,-5.555555556,1,82.96296296
"11",서울특별시,"11170",서울특별시 용산구,"11030650",이태원1동,"2024","2024",27.84918595,3,-18.15087146,3,85.82887701
"11",서울특별시,"11170",서울특별시 용산구,"11030660",이태원2동,"2024","2024",0.865941003,4,4.555160142,0,87.13235294
"11",서울특별시,"11170",서울특별시 용산구,"11030690",서빙고동,"2024","2024",-28.37242743,5,-5.346534653,2,91.2371134
"11",서울특별시,"11170",서울특별시 용산구,"11030700",보광동,"2024","2024",-50.20290835,3,-7.869674185,2,89.53287197
"11",서울특별시,"11170",서울특별시 용산구,"11030710",청파동,"2024","2024",-53.21768006,4,-14.26269138,1,86.39175258
"11",서울특별시,"11170",서울특별시 용산구,"11030720",원효로1동,"2024","2024",-2.602230483,4,-9.049409237,2,84.12052117
"11",서울특별시,"11170",서울특별시 용산구,"11030730",한강로동,"2024","2024",-24.24840764,4,-1.771117166,1,91.8344519
"11",서울특별시,"11170",서울특별시 용산구,"11030740",한남동,"2024","2024",-45.92875318,5,-25.25423729,3,98.4891407
"11",서울특별시,"11200",서울특별시 성동구,"11040520",왕십리2동,"2024","2024",-43.96200345,5,-1.499118166,1,86.54891304
"11",서울특별시,"11200",서울특별시 성동구,"11040540",마장동,"2024","2024",34.98269717,5,-1.778471139,1,75.53648069
"11",서울특별시,"11200",서울특별시 성동구,"11040550",사근동,"2024","2024",-26.30723931,5,-3.812871823,3,88.1281407
"11",서울특별시,"11200",서울특별시 성동구,"11040560",행당1동,"2024","2024",-28.57142857,2,-13.24694024,3,90.34994698
"11",서울특별시,"11200",서울특별시 성동구,"11040570",행당2동,"2024","2024",-40.20969621,3,-6.428138266,2,84.90566038
"11",서울특별시,"11200",서울특별시 성동구,"11040580",응봉동,"2024","2024",-20.97380862,5,-0.107411386,1,81.73652695
"11",서울특별시,"11200",서울특별시 성동구,"11040590",금호1가동,"2024","2024",-13.9255911,5,-7.214765101,1,97.51693002
"11",서울특별시,"11200",서울특별시 성동구,"11040620",금호4가동,"2024","2024",-39.23337552,5,3.818615752,1,84.79381443
"11",서울특별시,"11200",서울특별시 성동구,"11040650",성수1가1동,"2024","2024",3.404632916,5,2.968863143,1,86.52968037
"11",서울특별시,"11200",서울특별시 성동구,"11040660",성수1가2동,"2024","2024",-29.18648054,3,-0.945378151,1,76.70549085
"11",서울특별시,"11200",서울특별시 성동구,"11040670",성수2가1동,"2024","2024",10.21225471,5,-6.008287293,1,66.66666667
"11",서울특별시,"11200",서울특별시 성동구,"11040680",성수2가3동,"2024","2024",-30.54474708,5,-0.831312781,2,88.15663801
"11",서울특별시,"11200",서울특별시 성동구,"11040690",송정동,"2024","2024",-35.61879485,5,-6.40788663,1,82.15031315
"11",서울특별시,"11200",서울특별시 성동구,"11040700",용답동,"2024","2024",-43.70615675,5,-8.71321408,3,92.38548483
"11",서울특별시,"11200",서울특별시 성동구,"11040710",왕십리도선동,"2024","2024",-30.61657033,5,-10.20979021,3,79.47269303
"11",서울특별시,"11200",서울특별시 성동구,"11040720",금호2.3가동,"2024","2024",-55.34433595,5,-3.488372093,2,91.16719243
"11",서울특별시,"11200",서울특별시 성동구,"11040730",옥수동,"2024","2024",-53.59811404,2,-9.598127195,3,86.15888616
"11",서울특별시,"11215",서울특별시 광진구,"11050530",화양동,"2024","2024",-28.90618169,2,-4.093380237,2,85.33333333
"11",서울특별시,"11215",서울특별시 광진구,"11050540",군자동,"2024","2024",-22.17806041,4,-2.681992337,1,86.48495173
"11",서울특별시,"11215",서울특별시 광진구,"11050550",중곡1동,"2024","2024",-24.30234331,5,-7.487131493,3,86.14718615
"11",서울특별시,"11215",서울특별시 광진구,"11050560",중곡2동,"2024","2024",-8.893718757,5,-6.815203145,2,84.88372093
"11",서울특별시,"11215",서울특별시 광진구,"11050570",중곡3동,"2024","2024",-35.59184666,5,-8.348240906,3,87.11446196
"11",서울특별시,"11215",서울특별시 광진구,"11050580",중곡4동,"2024","2024",-13.50567621,5,-14.97487437,2,86.18648249
"11",서울특별시,"11215",서울특별시 광진구,"11050590",능동,"2024","2024",-5.026929982,4,-3.045685279,2,71.66123779
"11",서울특별시,"11215",서울특별시 광진구,"11050600",구의1동,"2024","2024",-4.019702202,5,-1.183151917,1,79.0625
"11",서울특별시,"11215",서울특별시 광진구,"11050610",구의2동,"2024","2024",-28.46686449,5,-13.26059589,2,83.7890625
"11",서울특별시,"11215",서울특별시 광진구,"11050620",구의3동,"2024","2024",-17.52546335,5,-10.52128168,3,81.62939297
"11",서울특별시,"11215",서울특별시 광진구,"11050630",광장동,"2024","2024",-20.94530097,5,-2.637244349,2,88.88888889
"11",서울특별시,"11215",서울특별시 광진구,"11050640",자양1동,"2024","2024",-33.97476093,1,-8.193832599,2,90.74914869
"11",서울특별시,"11215",서울특별시 광진구,"11050650",자양2동,"2024","2024",-40.58833436,2,-14.5747471,1,84.12698413
"11",서울특별시,"11215",서울특별시 광진구,"11050660",자양3동,"2024","2024",1.732010707,5,-2.709069494,3,82.20779221
"11",서울특별시,"11215",서울특별시 광진구,"11050670",자양4동,"2024","2024",-3.764582971,5,-14.20678769,3,81.02564103
"11",서울특별시,"11230",서울특별시 동대문구,"11060710",회기동,"2024","2024",-0.613990941,0,-3.931379557,3,82.47939807
"11",서울특별시,"11230",서울특별시 동대문구,"11060720",휘경1동,"2024","2024",-7.837848403,4,-6.584130557,3,89.26056338
"11",서울특별시,"11230",서울특별시 동대문구,"11060730",휘경2동,"2024","2024",-1.663061114,3,-5.512909979,3,88.5643768
"11",서울특별시,"11230",서울특별시 동대문구,"11060800",청량리동,"2024","2024",-8.65053581,5,9.397163121,0,87.62886598
"11",서울특별시,"11230",서울특별시 동대문구,"11060810",용신동,"2024","2024",11.77747407,5,-0.487385321,2,81.73981191
"11",서울특별시,"11230",서울특별시 동대문구,"11060820",제기동,"2024","2024",-8.443821872,5,-3.521126761,2,86.84824903
"11",서울특별시,"11230",서울특별시 동대문구,"11060830",전농1동,"2024","2024",4.407376886,4,-8.084844759,3,77.56906077
"11",서울특별시,"11230",서울특별시 동대문구,"11060840",전농2동,"2024","2024",4.385193867,2,-7.131410256,2,75.8096497
"11",서울특별시,"11230",서울특별시 동대문구,"11060860",답십리2동,"2024","2024",-16.40951251,3,-3.854389722,2,93.59642591
"11",서울특별시,"11230",서울특별시 동대문구,"11060870",장안1동,"2024","2024",-27.54651832,2,0.533943555,0,85.38071066
"11",서울특별시,"11230",서울특별시 동대문구,"11060880",장안2동,"2024","2024",-37.80487805,2,4.245283019,1,78.80986938
"11",서울특별시,"11230",서울특별시 동대문구,"11060890",이문1동,"2024","2024",-4.467229594,3,7.450628366,1,74.2193755
"11",서울특별시,"11230",서울특별시 동대문구,"11060900",이문2동,"2024","2024",-42.26050316,2,-2.084690554,2,90.86731763
"11",서울특별시,"11230",서울특별시 동대문구,"11060910",답십리1동,"2024","2024",-14.13877341,5,3.03712036,1,91.3153457
"11",서울특별시,"11260",서울특별시 중랑구,"11070520",면목2동,"2024","2024",-31.08653372,5,-6.268656716,2,86.19830593
"11",서울특별시,"11260",서울특별시 중랑구,"11070540",면목4동,"2024","2024",-33.134273,3,0.736196319,1,83.84379786
"11",서울특별시,"11260",서울특별시 중랑구,"11070550",면목5동,"2024","2024",-38.04270145,3,1.715919924,0,78.73754153
"11",서울특별시,"11260",서울특별시 중랑구,"11070570",면목7동,"2024","2024",-4.781014522,5,-5.099150142,2,81.16232465
"11",서울특별시,"11260",서울특별시 중랑구,"11070590",상봉1동,"2024","2024",-29.22318126,4,0.971428571,1,86.92010309
"11",서울특별시,"11260",서울특별시 중랑구,"11070600",상봉2동,"2024","2024",-13.78968956,3,-5.99922088,1,86.51120256
"11",서울특별시,"11260",서울특별시 중랑구,"11070610",중화1동,"2024","2024",-5.192284843,5,-2.452619844,1,72.73641851
"11",서울특별시,"11260",서울특별시 중랑구,"11070620",중화2동,"2024","2024",-19.44538814,1,-2.16802168,1,74.58100559
"11",서울특별시,"11260",서울특별시 중랑구,"11070640",묵1동,"2024","2024",-12.27301473,5,0.943396226,0,79.17431193
"11",서울특별시,"11260",서울특별시 중랑구,"11070650",묵2동,"2024","2024",-16.01639904,5,-5.968894493,3,83.78143972
"11",서울특별시,"11260",서울특별시 중랑구,"11070680",망우3동,"2024","2024",0.056038932,5,1.386896222,2,71.14967462
"11",서울특별시,"11260",서울특별시 중랑구,"11070690",신내1동,"2024","2024",-25.44048473,5,-3.974221267,2,76.201373
"11",서울특별시,"11260",서울특별시 중랑구,"11070700",신내2동,"2024","2024",-8.844202099,1,4.402347919,1,76.99805068
"11",서울특별시,"11260",서울특별시 중랑구,"11070710",면목본동,"2024","2024",-35.65193565,5,-0.983358548,1,84.02255639
"11",서울특별시,"11260",서울특별시 중랑구,"11070720",면목3.8동,"2024","2024",-4.542752403,5,5.982608696,0,58.812074
"11",서울특별시,"11260",서울특별시 중랑구,"11070730",망우본동,"2024","2024",-28.83764348,5,19.31137725,1,88.05970149
"11",서울특별시,"11290",서울특별시 성북구,"11080580",돈암1동,"2024","2024",-4.907642159,5,-2.325581395,2,82.57341577
"11",서울특별시,"11290",서울특별시 성북구,"11080590",돈암2동,"2024","2024",-12.37678402,5,-1.159536186,2,84.60291734
"11",서울특별시,"11290",서울특별시 성북구,"11080600",안암동,"2024","2024",-6.738676814,4,-2.254791432,2,83.55582524
"11",서울특별시,"11290",서울특별시 성북구,"11080610",보문동,"2024","2024",-17.01086647,5,0.644122383,1,89.07849829
"11",서울특별시,"11290",서울특별시 성북구,"11080620",정릉1동,"2024","2024",1.119257299,5,6.696935301,0,51.07913669
"11",서울특별시,"11290",서울특별시 성북구,"11080630",정릉2동,"2024","2024",-26.16373113,2,-1.07584723,2,79.85611511
"11",서울특별시,"11290",서울특별시 성북구,"11080640",정릉3동,"2024","2024",-28.04322057,2,-3.054367746,1,81.37417219
"11",서울특별시,"11290",서울특별시 성북구,"11080650",정릉4동,"2024","2024",-18.73859438,5,-4.74516696,2,81.78438662
"11",서울특별시,"11290",서울특별시 성북구,"11080660",길음1동,"2024","2024",-3.453421445,5,5.798252581,1,78.77984085
"11",서울특별시,"11290",서울특별시 성북구,"11080680",길음2동,"2024","2024",-36.78137895,2,-1.321585903,1,85.97926896
"11",서울특별시,"11290",서울특별시 성북구,"11080710",월곡1동,"2024","2024",-6.944077333,5,8.223201175,0,71.66528583
"11",서울특별시,"11290",서울특별시 성북구,"11080720",월곡2동,"2024","2024",-3.544957388,4,3.344262295,1,39.06882591
"11",서울특별시,"11290",서울특별시 성북구,"11080760",장위1동,"2024","2024",-37.6927427,1,-5.292307692,2,84.7826087
"11",서울특별시,"11290",서울특별시 성북구,"11080770",장위2동,"2024","2024",-3.496035679,5,2.313234736,0,79.36267071
"11",서울특별시,"11290",서울특별시 성북구,"11080780",장위3동,"2024","2024",-5.603007738,5,0.421432872,1,85.90116279
