시도코드,시도명,시군구코드,시군구명,기준연도,연도,과거대비인구변화,최근인구변화,과거대비사업체변화,최근사업체변화,노후건축물비율
11,서울특별시,11110,서울특별시 종로구,2024,2024,-42.58109324,5,-8.181544935,3,82.5997762
11,서울특별시,11140,서울특별시 중구,2024,2024,-37.67103626,3,-12.69834978,3,88.08075688
11,서울특별시,11170,서울특별시 용산구,2024,2024,-31.15945377,4,-12.13065783,2,87.57969654
11,서울특별시,11200,서울특별시 성동구,2024,2024,-32.16392604,5,-4.196892492,3,85.65817896
11,서울특별시,11215,서울특별시 광진구,2024,2024,-13.11818279,5,-7.729540769,3,84.60974537
11,서울특별시,11230,서울특별시 동대문구,2024,2024,-34.08085913,3,-2.766142025,3,85.04203176
11,서울특별시,11260,서울특별시 중랑구,2024,2024,-15.64084837,5,1.357323232,0,79.93706378
11,서울특별시,11290,서울특별시 성북구,2024,2024,-22.88954564,5,0.826549781,1,82.71777003
11,서울특별시,11305,서울특별시 강북구,2024,2024,-24.5342857,5,-3.858031045,2,84.07729548
11,서울특별시,11320,서울특별시 도봉구,2024,2024,-15.15095629,5,-3.899916131,2,83.55267788
11,서울특별시,11350,서울특별시 노원구,2024,2024,-16.5168191,5,1.387632917,1,81.77505606
11,서울특별시,11380,서울특별시 은평구,2024,2024,-5.84911609,3,-0.70220826,1,74.66264266
11,서울특별시,11410,서울특별시 서대문구,2024,2024,-21.74874512,2,-6.085918854,3,83.89094759
11,서울특별시,11440,서울특별시 마포구,2024,2024,-18.99318229,5,-7.296979895,3,76.20449416
11,서울특별시,11470,서울특별시 양천구,2024,2024,-11.67767584,5,-2.580991268,3,78.92201144
11,서울특별시,11500,서울특별시 강서구,2024,2024,-1.158465904,5,-2.583012291,1,74.48566985
11,서울특별시,11530,서울특별시 구로구,2024,2024,-9.567057088,5,-6.132056653,3,79.60677459
11,서울특별시,11545,서울특별시 금천구,2024,2024,-29.87264944,5,-1.613043289,1,78.72936109
11,서울특별시,11560,서울특별시 영등포구,2024,2024,-24.13482831,4,-3.416455046,1,83.64248731
11,서울특별시,11590,서울특별시 동작구,2024,2024,-10.80034464,5,-5.203603067,2,79.89886907
11,서울특별시,11620,서울특별시 관악구,2024,2024,-16.66681178,2,-5.627402025,2,78.14949076
11,서울특별시,11650,서울특별시 서초구,2024,2024,-4.681951679,3,-10.37132563,3,70.41284404
11,서울특별시,11680,서울특별시 강남구,2024,2024,-6.707572505,3,-11.14306254,3,72.69773487
11,서울특별시,11710,서울특별시 송파구,2024,2024,-2.155277679,2,-6.150878994,3,75.79488701
11,서울특별시,11740,서울특별시 강동구,2024,2024,-17.76532766,2,0.588685621,1,71.57800526
26,부산광역시,26110,부산광역시 중구,2024,2024,-49.29681239,5,-19.9691637,3,86.74509804
26,부산광역시,26140,부산광역시 서구,2024,2024,-49.36977577,2,-9.729681346,3,88.79586488
26,부산광역시,26170,부산광역시 동구,2024,2024,-53.92514239,2,-13.76950452,3,91.15656604
26,부산광역시,26200,부산광역시 영도구,2024,2024,-46.12313409,5,-0.018288222,1,87.50717743
26,부산광역시,26230,부산광역시 부산진구,2024,2024,-32.36967957,1,-5.129688332,3,86.38367644
26,부산광역시,26260,부산광역시 동래구,2024,2024,-21.50054079,2,-2.195121951,1,84.59357765
26,부산광역시,26290,부산광역시 남구,2024,2024,-22.67197288,4,-11.76723582,3,84.72032742
26,부산광역시,26320,부산광역시 북구,2024,2024,-15.81090437,5,-5.620094192,2,84.11298882
26,부산광역시,26350,부산광역시 해운대구,2024,2024,-6.166785342,5,-4.038867983,2,84.13842482
26,부산광역시,26380,부산광역시 사하구,2024,2024,-19.55711622,5,-3.955835039,1,86.74925741
26,부산광역시,26410,부산광역시 금정구,2024,2024,-27.06432521,5,-11.84164564,3,81.55279226
26,부산광역시,26440,부산광역시 강서구,2024,2024,51.06454336,1,-2.423600305,1,47.5823879
26,부산광역시,26470,부산광역시 연제구,2024,2024,-22.41012546,3,-7.252958386,2,84.39395982
26,부산광역시,26500,부산광역시 수영구,2024,2024,-18.72178688,4,-1.278372032,1,81.99986358
26,부산광역시,26530,부산광역시 사상구,2024,2024,-28.80939424,5,-8.557270282,3,79.52555775
26,부산광역시,26710,부산광역시 기장군,2024,2024,14.54653987,1,0.028253376,0,44.78051392
27,대구광역시,27110,대구광역시 중구,2024,2024,-51.96175188,2,-4.749076355,2,82.23137093
27,대구광역시,27140,대구광역시 동구,2024,2024,-7.980662039,3,-7.140799631,3,74.15701707
27,대구광역시,27170,대구광역시 서구,2024,2024,-58.8179284,3,-6.911691486,3,88.34424128
27,대구광역시,27200,대구광역시 남구,2024,2024,-48.09003773,5,-1.386831032,1,85.60455683
27,대구광역시,27230,대구광역시 북구,2024,2024,-4.353485178,4,-4.991569619,1,73.19778708
27,대구광역시,27260,대구광역시 수성구,2024,2024,-8.519897727,4,-1.966620306,2,77.7411986
27,대구광역시,27290,대구광역시 달서구,2024,2024,-8.594771458,5,-6.941427808,3,75.57899436
27,대구광역시,27710,대구광역시 달성군,2024,2024,37.41711244,2,-3.35165954,3,54.20129562
27,대구광역시,27720,대구광역시 군위군,2024,2024,-41.89559322,2,-2.651966627,1,63.31015447
28,인천광역시,28110,인천광역시 중구,2024,2024,22.888979,0,-11.39558233,1,48.24946057
28,인천광역시,28140,인천광역시 동구,2024,2024,-53.3564132,3,-16.72756439,3,83.11141075
28,인천광역시,28177,인천광역시 미추홀구,2024,2024,-8.462243692,2,-3.850620693,3,82.98970895
28,인천광역시,28185,인천광역시 연수구,2024,2024,20.07068531,1,4.135031687,0,62.62033341
28,인천광역시,28200,인천광역시 남동구,2024,2024,-0.140986241,5,-1.934372163,1,68.94613023
28,인천광역시,28237,인천광역시 부평구,2024,2024,-12.60245079,2,-0.779593791,1,81.18979279
28,인천광역시,28245,인천광역시 계양구,2024,2024,-14.42776173,5,-2.110734819,1,71.11960393
28,인천광역시,28260,인천광역시 서구,2024,2024,8.216575488,1,1.491274458,1,49.46364337
28,인천광역시,28710,인천광역시 강화군,2024,2024,-9.420208904,1,-2.448337826,1,48.16977136
28,인천광역시,28720,인천광역시 옹진군,2024,2024,3.12228497,2,-0.229095074,1,47.12153518
29,광주광역시,29110,광주광역시 동구,2024,2024,-45.91358559,1,0.08567512,1,78.29981144
29,광주광역시,29140,광주광역시 서구,2024,2024,-6.794365695,5,-0.552311819,2,68.20052188
29,광주광역시,29155,광주광역시 남구,2024,2024,-24.41132807,3,0.675485505,1,76.14698966
29,광주광역시,29170,광주광역시 북구,2024,2024,-9.745635599,4,-6.633364835,3,71.2749213
29,광주광역시,29200,광주광역시 광산구,2024,2024,1.166857934,4,-8.929760856,1,53.42372689
30,대전광역시,30110,대전광역시 동구,2024,2024,-24.18044832,4,-2.326106594,1,78.08286998
30,대전광역시,30140,대전광역시 중구,2024,2024,-22.56534946,4,-6.849415205,3,82.87404
30,대전광역시,30170,대전광역시 서구,2024,2024,-6.913745043,5,1.472059143,2,72.57228388
30,대전광역시,30200,대전광역시 유성구,2024,2024,5.116475453,0,0.380936943,0,43.59877212
30,대전광역시,30230,대전광역시 대덕구,2024,2024,-25.847599,5,-9.233170411,1,77.80606001
31,울산광역시,31110,울산광역시 중구,2024,2024,-10.49822516,3,-4.657478096,3,77.24210623
31,울산광역시,31140,울산광역시 남구,2024,2024,-7.251508697,5,-7.954962673,3,69.25444707
31,울산광역시,31170,울산광역시 동구,2024,2024,-19.52763207,3,-1.073604797,1,69.12906253
31,울산광역시,31200,울산광역시 북구,2024,2024,15.17523774,3,-2.839342816,1,52.22417523
31,울산광역시,31710,울산광역시 울주군,2024,2024,1.628765902,5,-7.312196515,1,48.00392242
36,세종특별자치시,36110,세종특별자치시,2024,2024,73.67709163,0,0.627008142,0,50.26401593
41,경기도,41110,경기도 수원시,2024,2024,0.254103463,2,1.610055053,0,70.70740254
41,경기도,41130,경기도 성남시,2024,2024,-5.616318092,5,-1.614374805,3,76.89777959
41,경기도,41150,경기도 의정부시,2024,2024,6.102364091,1,-1.103991353,2,76.21527778
41,경기도 ,41170,경기도 안양시,2024,2024,-13.19986349,2,-2.935423881,1,76.4206698
41,경기도 ,41190,경기도 부천시,2024,2024,-6.902849694,5,-4.808223201,1,78.57288481
41,경기도,41210,경기도 광명시,2024,2024,-17.24069145,5,-7.376443598,3,72.85063579
41,경기도,41220,경기도 평택시,2024,2024,17.12567668,0,-1.412375923,1,41.47802074
41,경기도,41250,경기도 동두천시,2024,2024,-2.902887925,5,1.433691756,0,65.86608443
41,경기도,41270,경기도 안산시,2024,2024,-12.47682755,4,-0.763869242,1,57.37209241
41,경기도,41280,경기도 고양시,2024,2024,5.499299596,3,2.685762877,0,51.06336923
41,경기도,41290,경기도 과천시,2024,2024,-20.35575581,0,5.824102048,1,51.58648925
41,경기도,41310,경기도 구리시,2024,2024,1.384101508,5,-3.375363725,2,70.27371101
41,경기도,41360,경기도 남양주시,2024,2024,10.35607301,1,-0.12374536,1,37.95128144
41,경기도,41370,경기도 오산시,2024,2024,10.01890822,2,0.463109146,0,45.35626536
41,경기도,41390,경기도 시흥시,2024,2024,18.61013535,1,-3.629260728,1,55.26577889
41,경기도,41410,경기도 군포시,2024,2024,-4.661917485,5,-5.460030166,1,74.02030346
41,경기도,41430,경기도 의왕시,2024,2024,3.625778376,4,-1.892793422,1,54.77114042
41,경기도,41450,경기도 하남시,2024,2024,81.06551523,1,3.278989386,0,46.15435884
41,경기도,41460,경기도 용인시,2024,2024,9.596803487,1,5.434931905,0,39.220845
41,경기도,41480,경기도 파주시,2024,2024,10.60916279,0,0.371219948,0,32.89442873
41,경기도,41500,경기도 이천시,2024,2024,7.228329169,2,-6.175771971,1,45.18419166
41,경기도,41550,경기도 안성시,2024,2024,1.36092346,1,-5.857872006,1,47.27667859
41,경기도,41570,경기도 김포시,2024,2024,34.63503177,1,0.801174839,0,30.0554974
41,경기도,41590,경기도 화성시,2024,2024,45.56307918,0,0.374721851,0,33.41026079
41,경기도,41610,경기도 광주시,2024,2024,24.04894838,1,-0.599012617,1,39.44213409
41,경기도,41630,경기도 양주시,2024,2024,13.81025171,0,4.031318281,0,43.63485525
41,경기도,41650,경기도 포천시,2024,2024,-4.567748597,3,-5.366033561,1,48.64421625
41,경기도,41670,경기도 여주시,2024,2024,2.078833439,0,-19.23547741,1,37.00780471
41,경기도,41800,경기도 연천군,2024,2024,-33.10163656,5,-37.21322537,1,57.63522696
41,경기도,41820,경기도 가평군,2024,2024,2.063734509,3,2.678002125,0,37.75932078
