시군구코드,읍면동코드,연도,시군구명,읍면동명,인구변화율(인구총조사),인구변화율(인구총조사)등급,노령화지수(인구총조사),노령화지수(인구총조사)등급,종사자수(천명당),종사자수(천명당)등급,사업체당종사자수,사업체당종사자수등급,제조업종사자비율,제조업종사자비율등급,도소매업종사자수(천명당),도소매업종사자수(천명당)등급,소형주택비율,소형주택비율등급,노후주택비율,노후주택비율등급,신규주택비율,신규주택비율등급,인구변화율(주민등록인구통계),인구변화율(주민등록인구통계)등급,노령화지수(주민등록인구통계),노령화지수(주민등록인구통계),고령인구수(인구총조사),고령인구수(인구총조사)등급,고령인구수(주민등록인구통계),고령인구수(주민등록인구통계)등급,노년부양비(인구총조사),노년부양비(인구총조사),노년부양비(주민등록인구통계),노년부양비(주민등록인구통계)등급,경제활동인구(인구총조사),경제활동인구(인구총조사)등급,경제활동인구(주민등록인구통계),경제활동인구(주민등록인구통계)등급,총사업체수증감율,총사업체수증감율등급,총종사자수증감율,총종사자수증감율등급,고차산업종사자비율,고차산업종사자비율등급,주요산업별종사자수,주요산업별종사자수등급,총사업체수,총사업체수등급,부동산공시지가,부동산공시지가등급,접도율,접도율등급,노후건축물비율,노후건축물비율등급,도소매업체증감율,도소매업체증감율등급,제조업체증감율,제조업체증감율등급,기초생활수급자(천인당),기초생활수급자(천인당)등급
11110,11010530,2022,서울특별시 종로구,사직동,,,,,6136.898867,10,11.41676917,10,0.644628396,3,430.2850226,9,31.17043121,1,48.12138728,8,2.381930185,5,-3.040973111,5,211.2293144,7,,,1787,6,,,27.68825535,7,,,6454,5,0.049480455,5,-0.216508311,5,20.51678009,10,9100,9,4878,10,5621047.195,10,24.20868806,5,47.18941899,8,4.229195089,6,3.289473684,6,,
11110,11010540,2022,서울특별시 종로구,삼청동,,,,,2193.908194,8,5.293873313,7,2.393095332,3,365.9373659,9,53.50223547,3,53.92670157,7,0,3,-5.089576547,5,348.5380117,6,,,596,8,,,38.10741688,6,,,1564,4,-0.772986168,5,2.690763052,6,4.080031385,5,1237,5,963,5,5648078.629,10,24.91039427,6,53.38345865,7,-0.313479624,6,-10.81081081,4,,
11110,11010550,2022,서울특별시 종로구,부암동,,,,,445.5145547,5,4.468926554,6,1.820480405,3,58.00238069,5,60.5704698,3,81.27812781,4,5.67114094,5,-3.528552041,5,224.8756219,7,,,1808,6,,,27.27409866,7,,,6629,5,1.155462185,6,9.991985039,7,1.845764855,3,1237,5,885,5,1986801.944,6,30.32659409,7,80.73593074,4,10.28037383,7,0,5,,
11110,11010560,2022,서울특별시 종로구,평창동,,,,,239.5402819,5,3.214574899,5,3.55163728,3,45.23580366,5,42.87282708,2,82.58774948,4,3.2936871,5,-2.693918026,5,192.5720621,7,,,3474,5,,,28.05006056,7,,,12385,6,1.142857143,6,-0.913348946,5,5.591939547,6,799,5,1235,5,2429644.067,7,38.54248882,8,80.44077135,4,-6.017191977,5,0,5,,
11110,11010570,2022,서울특별시 종로구,무악동,,,,,189.3306743,5,3.739837398,6,0,3,14.95699863,5,78.05139186,6,38.29787234,9,6.995003569,5,-2.8574888,5,141.2440191,7,,,1476,7,,,26.82660851,7,,,5502,5,-3.666146646,4,1.131824234,6,8.260869565,7,545,5,369,3,878049.4163,5,16.34241245,4,41.81818182,8,-14.1025641,4,-100,4,,
11110,11010580,2022,서울특별시 종로구,교남동,,,,,1357.579462,7,23.8134058,10,0.045644732,3,94.43765281,6,89.25397253,8,86.1575179,4,0.242391597,3,-2.289468445,5,142.1915444,7,,,1648,7,,,23.51262662,7,,,7009,5,-0.806451613,5,59.497307,10,1.780144542,3,6862,8,552,3,2661481.347,7,27.83059637,6,84.4017094,4,-15.95744681,4,0,5,,
11110,11010600,2022,서울특별시 종로구,가회동,,,,,3918.548592,10,16.08045977,10,0.747287023,3,119.2590713,6,75.29325513,6,32.1656051,9,0,3,-3.595890411,5,256.7484663,6,,,837,8,,,30.12958963,7,,,2778,4,-4.166666667,4,9.053032978,7,1.293131458,3,9463,10,957,5,6052828.596,10,24.543379,6,34.21052632,9,-5.140186916,5,-4.761904762,5,,
11110,11010610,2022,서울특별시 종로구,종로1·2·3·4가동,,,,,13714.92271,10,5.794182321,7,5.094008197,3,2612.068966,10,70.12113055,5,36.64202746,9,1.615074024,3,-6.516604141,4,611.4695341,5,,,1706,7,,,35.96879612,6,,,4743,4,0.525210084,5,-1.321783766,5,14.34627979,10,17574,10,15917,10,9580523.578,10,17.48394172,4,40.66570188,8,-3.115911924,5,0.935499754,6,,
11110,11010630,2022,서울특별시 종로구,종로5·6가동,,,,,3687.924528,10,2.803712764,5,10.90694452,5,1686.226415,10,67.49285033,5,58.43694494,7,11.63012393,6,4.146197681,7,450.212766,6,,,1058,7,,,26.40379336,7,,,4007,4,-1.357213684,5,-8.023151852,4,8.479186984,8,8937,9,6949,10,5835201.27,10,23.87161484,5,62.06171108,6,-5.317360235,5,-2.928870293,5,,
11110,11010640,2022,서울특별시 종로구,이화동,,,,,2615.828757,9,12.09251969,10,2.300721689,3,168.8494578,7,82.1798591,7,68.80222841,6,2.154993784,5,-1.797814963,5,386.2857143,6,,,1352,7,,,25.04167438,7,,,5399,5,-4.886394744,4,8.632083748,7,1.524770742,3,9804,10,1524,6,6519170.81,10,28.83240667,6,68.93886156,5,-6.006006006,5,-4.761904762,5,,
