시군구코드,연도,시군구명,노령화지수(인구총조사),노령화지수(인구총조사)등급,인구순이동률,인구순이동률등급,인구변화율(인구총조사),인구변화율(인구총조사)등급,평균교육년수,평균교육년수등급,독거노인가구비율,독거노인가구비율등급,기초생활수급자(천인당),기초생활수급자(천인당)등급,소년소녀가장(천인당),소년소녀가장(천인당)등급,노령화지수(주민등록인구통계),노령화지수(주민등록인구통계)등급,인구변화율(주민등록인구통계),인구변화율(주민등록인구통계)등급,고령인구수(인구총조사),고령인구수(인구총조사)등급,고령인구수(주민등록인구통계),고령인구수(주민등록인구통계)등급,노년부양비(인구총조사),노년부양비(인구총조사)등급,노년부양비(주민등록인구통계),노년부양비(주민등록인구통계)등급,세입자가구비율,세입자가구비율등급,경제활동인구(인구총조사),경제활동인구(인구총조사)등급,경제활동인구(주민등록인구통계),경제활동인구(주민등록인구통계)등급,종사자수(천명당),종사자수(천명당)등급,사업체당종사자수,사업체당종사자수등급,제조업종사자비율,제조업종사자비율등급,고차산업종사자비율,고차산업종사자비율등급,재정자립도,재정자립도등급,지방세액(1인당),지방세액(1인당)등급,지가변동률(주거),지가변동률(주거)등급,지가변동률(상업),지가변동률(상업)등급,의료보험료,의료보험료등급,도소매업종사자수(천명당),도소매업종사자수(천명당)등급,총사업체수증감율,총사업체수증감율등급,총종사자수증감율,총종사자수증감율등급,도소매업체증감율,도소매업체증감율등급,제조업체증감율,제조업체증감율등급,주요산업별종사자수,주요산업별종사자수등급,총사업체수,총사업체수등급,노후주택비율,노후주택비율등급,신규주택비율,신규주택비율등급,공가율,공가율등급,부동산공시지가,부동산공시지가등급,노후건축물비율,노후건축물비율등급,소형주택비율,소형주택비율등급,주거면적(1인당),주거면적(1인당)등급,주택보급율,주택보급율등급,접도율,접도율등급
11110,2024,서울특별시 종로구,,,-0.472039093,5,,,,,,,,,,,297.794784,5,-0.775371727,5,,,29574,5,,,29.92380933,3,,,,,98831,5,,,,,,,,,42.04,10,,,0.176,7,0.172,7,,,,,,,,,,,,,,,,,84.76695339,8,,,,,3.752791637,5,82.5997762,8,,,,,,,18.7712754,5
11140,2024,서울특별시 중구,,,-0.365011946,5,,,,,,,,,,,325.2617317,5,-0.633078343,5,,,26408,3,,,30.70090796,3,,,,,86017,5,,,,,,,,,53.63,10,,,0.22,8,0.197,8,,,,,,,,,,,,,,,,,89.17565485,8,,,,,3.181058297,5,88.08075688,9,,,,,,,30.89347782,7
11170,2024,서울특별시 용산구,,,-4.36783188,4,,,,,,,,,,,237.1007071,5,-4.361696638,4,,,38894,5,,,26.18137268,3,,,,,148556,5,,,,,,,,,39.39,9,,,0.265,9,0.535,10,,,,,,,,,,,,,,,,,89.24723804,8,,,,,4.940027803,5,87.57969654,9,,,,,,,23.98475978,5
11200,2024,서울특별시 성동구,,,-1.400231667,4,,,,,,,,,,,210.7719632,3,-1.331117208,5,,,51030,6,,,25.71713669,3,,,,,198428,6,,,,,,,,,30.16,8,,,0.229,8,0.208,8,,,,,,,,,,,,,,,,,87.26899384,8,,,,,2.267010543,3,85.65817896,9,,,,,,,31.68454734,7
11215,2024,서울특별시 광진구,,,-0.981434678,4,,,,,,,,,,,237.2126494,5,-1.070170524,5,,,59334,6,,,23.96210261,3,,,,,247616,7,,,,,,,,,23.21,6,,,0.246,9,0.133,6,,,,,,,,,,,,,,,,,84.68069398,8,,,,,1.802484933,3,84.60974537,8,,,,,,,22.81043931,5
11230,2024,서울특별시 동대문구,,,-0.521646715,5,,,,,,,,,,,248.8564966,5,-0.707608699,5,,,69314,7,,,28.69336998,3,,,,,241568,7,,,,,,,,,21.56,6,,,0.234,9,0.224,8,,,,,,,,,,,,,,,,,85.33399988,8,,,,,3.18972439,5,85.04203176,9,,,,,,,39.36365896,8
11260,2024,서울특별시 중랑구,,,-0.559753635,5,,,,,,,,,,,286.7238056,5,-0.753882587,5,,,83299,8,,,31.20712715,3,,,,,266923,7,,,,,,,,,15.43,5,,,0.222,8,0.07,5,,,,,,,,,,,,,,,,,79.7488842,7,,,,,2.352547523,5,79.93706378,8,,,,,,,25.07798044,6
11290,2024,서울특별시 성북구,,,-0.764778442,5,,,,,,,,,,,215.811822,3,-0.949713582,5,,,83353,8,,,27.82291444,3,,,,,299584,7,,,,,,,,,18.65,5,,,0.185,7,0.169,7,,,,,,,,,,,,,,,,,83.62208869,7,,,,,2.076376096,3,82.71777003,8,,,,,,,25.25166836,6
11305,2024,서울특별시 강북구,,,-1.05819173,4,,,,,,,,,,,372.3898154,6,-1.567440553,4,,,71227,7,,,36.85877367,5,,,,,193243,6,,,,,,,,,15.35,5,,,0.156,7,0.161,7,,,,,,,,,,,,,,,,,84.33279308,7,,,,,2.238226173,3,84.07729548,8,,,,,,,22.86884229,5
11320,2024,서울특별시 도봉구,,,-0.854472542,4,,,,,,,,,,,319.4012492,5,-1.211931663,5,,,74149,7,,,36.01843936,5,,,,,205864,6,,,,,,,,,17.27,5,,,0.156,7,0.191,8,,,,,,,,,,,,,,,,,84.25252704,7,,,,,1.145095513,3,83.55267788,8,,,,,,,32.7164603,7
