시군구코드,연도,시군구명,대졸인구비율,대졸인구비율등급,여성종사자비율,여성종사자비율등급,20세미만인구성장률,20세미만인구성장률등급,투표율,투표율등급,재정자립도,재정자립도등급,경제활동인구대비종사자수,경제활동인구대비종사자수등급,1인당지역내총생산,1인당지역내총생산등급,특허출원건수,특허출원건수등급,1인당주민세,1인당주민세등급,1인당공원면적,1인당공원면적등급,도로밀도,도로밀도등급,1만인당공무원수,1만인당공무원수등급,건축허가면적증감률,건축허가면적증감률등급,주민등록인구전출입률,주민등록인구전출입률등급,폐기물재활용률,폐기물재활용률등급,1만인당사회복지시설수,1만인당사회복지시설수등급,1만인당문화체육시설수,1만인당문화체육시설수등급,1만인당축제건수,1만인당축제건수등급,비영리단체수,비영리단체수등급
11110,2024,서울특별시 종로구,,,,,,,,,42.04,10,,,,,,,,,,,,,,,,,-0.472039093,5,,,,,,,,,443,10
11140,2024,서울특별시 중구,,,,,,,,,53.63,10,,,,,,,,,,,,,,,,,-0.365011946,5,,,,,,,,,180,9
11170,2024,서울특별시 용산구,,,,,,,,,39.39,9,,,,,,,,,,,,,,,,,-4.36783188,4,,,,,,,,,124,7
11200,2024,서울특별시 성동구,,,,,,,,,30.16,8,,,,,,,,,,,,,,,,,-1.400231667,4,,,,,,,,,60,5
11215,2024,서울특별시 광진구,,,,,,,,,23.21,6,,,,,,,,,,,,,,,,,-0.981434678,4,,,,,,,,,63,6
11230,2024,서울특별시 동대문구,,,,,,,,,21.56,6,,,,,,,,,,,,,,,,,-0.521646715,5,,,,,,,,,83,6
11260,2024,서울특별시 중랑구,,,,,,,,,15.43,5,,,,,,,,,,,,,,,,,-0.559753635,5,,,,,,,,,37,5
11290,2024,서울특별시 성북구,,,,,,,,,18.65,5,,,,,,,,,,,,,,,,,-0.764778442,5,,,,,,,,,70,6
11305,2024,서울특별시 강북구,,,,,,,,,15.35,5,,,,,,,,,,,,,,,,,-1.05819173,4,,,,,,,,,53,5
11320,2024,서울특별시 도봉구,,,,,,,,,17.27,5,,,,,,,,,,,,,,,,,-0.854472542,4,,,,,,,,,41,5
11350,2024,서울특별시 노원구,,,,,,,,,16.59,5,,,,,,,,,,,,,,,,,-1.216699542,4,,,,,,,,,46,5
11380,2024,서울특별시 은평구,,,,,,,,,15.96,5,,,,,,,,,,,,,,,,,-1.003430104,4,,,,,,,,,92,6
11410,2024,서울특별시 서대문구,,,,,,,,,20.29,6,,,,,,,,,,,,,,,,,-0.945012927,4,,,,,,,,,106,7
11440,2024,서울특별시 마포구,,,,,,,,,27.98,7,,,,,,,,,,,,,,,,,-0.592667196,5,,,,,,,,,268,10
11470,2024,서울특별시 양천구,,,,,,,,,21.59,6,,,,,,,,,,,,,,,,,-1.024651025,4,,,,,,,,,65,6
11500,2024,서울특별시 강서구,,,,,,,,,19.43,6,,,,,,,,,,,,,,,,,-1.195855232,4,,,,,,,,,83,6
11530,2024,서울특별시 구로구,,,,,,,,,19.94,6,,,,,,,,,,,,,,,,,-1.131465934,4,,,,,,,,,78,6
11545,2024,서울특별시 금천구,,,,,,,,,22.02,6,,,,,,,,,,,,,,,,,-0.872716614,4,,,,,,,,,47,5
11560,2024,서울특별시 영등포구,,,,,,,,,35.17,8,,,,,,,,,,,,,,,,,-0.36546246,5,,,,,,,,,263,10
11590,2024,서울특별시 동작구,,,,,,,,,28.41,7,,,,,,,,,,,,,,,,,-0.749070647,5,,,,,,,,,73,6
11620,2024,서울특별시 관악구,,,,,,,,,17.72,5,,,,,,,,,,,,,,,,,-0.655487932,5,,,,,,,,,89,6
11650,2024,서울특별시 서초구,,,,,,,,,53.16,10,,,,,,,,,,,,,,,,,0.091337395,6,,,,,,,,,210,10
11680,2024,서울특별시 강남구,,,,,,,,,56.08,10,,,,,,,,,,,,,,,,,2.133149127,9,,,,,,,,,174,9
11710,2024,서울특별시 송파구,,,,,,,,,31.9,8,,,,,,,,,,,,,,,,,-0.692805833,5,,,,,,,,,133,8
11740,2024,서울특별시 강동구,,,,,,,,,21.95,6,,,,,,,,,,,,,,,,,3.708207707,10,,,,,,,,,69,6
26110,2024,부산광역시 중구,,,,,,,,,22.05,6,,,,,,,,,,,,,,,,,-1.88613901,4,,,,,,,,,40,5
26140,2024,부산광역시 서구,,,,,,,,,12.43,3,,,,,,,,,,,,,,,,,-0.07462108,6,,,,,,,,,19,3
26170,2024,부산광역시 동구,,,,,,,,,16.56,5,,,,,,,,,,,,,,,,,-1.439862183,4,,,,,,,,,107,7
26200,2024,부산광역시 영도구,,,,,,,,,9.25,3,,,,,,,,,,,,,,,,,-1.692742223,4,,,,,,,,,14,3
26230,2024,부산광역시 부산진구,,,,,,,,,19.04,5,,,,,,,,,,,,,,,,,0.285848681,6,,,,,,,,,144,8
26260,2024,부산광역시 동래구,,,,,,,,,19.2,6,,,,,,,,,,,,,,,,,1.520209935,8,,,,,,,,,73,6
26290,2024,부산광역시 남구,,,,,,,,,18.43,5,,,,,,,,,,,,,,,,,0.523776218,6,,,,,,,,,51,5
26320,2024,부산광역시 북구,,,,,,,,,10.69,3,,,,,,,,,,,,,,,,,-1.866323984,4,,,,,,,,,44,5
26350,2024,부산광역시 해운대구,,,,,,,,,26.22,7,,,,,,,,,,,,,,,,,-0.709078543,5,,,,,,,,,59,5
26380,2024,부산광역시 사하구,,,,,,,,,17.68,5,,,,,,,,,,,,,,,,,-1.32927167,4,,,,,,,,,37,5
26410,2024,부산광역시 금정구,,,,,,,,,15.93,5,,,,,,,,,,,,,,,,,-2.063048987,4,,,,,,,,,60,5
26440,2024,부산광역시 강서구,,,,,,,,,41.59,10,,,,,,,,,,,,,,,,,0.077737081,6,,,,,,,,,19,3
26470,2024,부산광역시 연제구,,,,,,,,,17.19,5,,,,,,,,,,,,,,,,,3.440911806,10,,,,,,,,,73,6
26500,2024,부산광역시 수영구,,,,,,,,,17.58,5,,,,,,,,,,,,,,,,,-1.134261683,4,,,,,,,,,43,5
26530,2024,부산광역시 사상구,,,,,,,,,17.97,5,,,,,,,,,,,,,,,,,-1.673421099,4,,,,,,,,,45,5
26710,2024,부산광역시 기장군,,,,,,,,,27.76,7,,,,,,,,,,,,,,,,,-1.524831175,4,,,,,,,,,16,3
27110,2024,대구광역시 중구,,,,,,,,,25.33,7,,,,,,,,,,,,,,,,,8.713450891,10,,,,,,,,,86,6
27140,2024,대구광역시 동구,,,,,,,,,15.97,5,,,,,,,,,,,,,,,,,0.166501626,6,,,,,,,,,40,5
27170,2024,대구광역시 서구,,,,,,,,,13.13,3,,,,,,,,,,,,,,,,,0.06436387,6,,,,,,,,,25,5
27200,2024,대구광역시 남구,,,,,,,,,11.08,3,,,,,,,,,,,,,,,,,-1.387023623,4,,,,,,,,,58,5
27230,2024,대구광역시 북구,,,,,,,,,16.71,5,,,,,,,,,,,,,,,,,-1.365826493,4,,,,,,,,,40,5
27260,2024,대구광역시 수성구,,,,,,,,,24.12,6,,,,,,,,,,,,,,,,,0.731104577,7,,,,,,,,,58,5
27290,2024,대구광역시 달서구,,,,,,,,,18.29,5,,,,,,,,,,,,,,,,,-0.862608976,4,,,,,,,,,54,5
27710,2024,대구광역시 달성군,,,,,,,,,29.99,7,,,,,,,,,,,,,,,,,-1.82079354,4,,,,,,,,,20,3
27720,2024,대구광역시 군위군,,,,,,,,,8.66,3,,,,,,,,,,,,,,,,,-0.747896541,5,,,,,,,,,5,3
28110,2024,인천광역시 중구,,,,,,,,,38.05,9,,,,,,,,,,,,,,,,,4.704002681,10,,,,,,,,,65,6
28140,2024,인천광역시 동구,,,,,,,,,13.1,3,,,,,,,,,,,,,,,,,-1.451214492,4,,,,,,,,,16,3
28177,2024,인천광역시 미추홀구,,,,,,,,,14.34,5,,,,,,,,,,,,,,,,,1.75975201,8,,,,,,,,,88,6
28185,2024,인천광역시 연수구,,,,,,,,,29.84,7,,,,,,,,,,,,,,,,,1.788047865,8,,,,,,,,,212,10
28200,2024,인천광역시 남동구,,,,,,,,,17.22,5,,,,,,,,,,,,,,,,,-1.031209831,4,,,,,,,,,102,7
28237,2024,인천광역시 부평구,,,,,,,,,16.36,5,,,,,,,,,,,,,,,,,-0.141119221,5,,,,,,,,,51,5
28245,2024,인천광역시 계양구,,,,,,,,,15.39,5,,,,,,,,,,,,,,,,,0.27834577,6,,,,,,,,,82,6
28260,2024,인천광역시 서구,,,,,,,,,28.36,7,,,,,,,,,,,,,,,,,1.30081506,7,,,,,,,,,138,8
28710,2024,인천광역시 강화군,,,,,,,,,11.92,3,,,,,,,,,,,,,,,,,1.602259301,8,,,,,,,,,34,5
28720,2024,인천광역시 옹진군,,,,,,,,,9.64,3,,,,,,,,,,,,,,,,,-1.065213043,4,,,,,,,,,1,3
29110,2024,광주광역시 동구,,,,,,,,,16.3,5,,,,,,,,,,,,,,,,,-0.566838978,5,,,,,,,,,168,8
29140,2024,광주광역시 서구,,,,,,,,,18.59,5,,,,,,,,,,,,,,,,,-1.499731231,4,,,,,,,,,135,8
29155,2024,광주광역시 남구,,,,,,,,,14.7,5,,,,,,,,,,,,,,,,,-0.606463485,5,,,,,,,,,117,7
29170,2024,광주광역시 북구,,,,,,,,,13.3,3,,,,,,,,,,,,,,,,,0.759975564,7,,,,,,,,,201,9
29200,2024,광주광역시 광산구,,,,,,,,,18.81,5,,,,,,,,,,,,,,,,,-1.312016261,4,,,,,,,,,87,6
30110,2024,대전광역시 동구,,,,,,,,,10.24,3,,,,,,,,,,,,,,,,,0.772951724,7,,,,,,,,,72,6
30140,2024,대전광역시 중구,,,,,,,,,12.6,3,,,,,,,,,,,,,,,,,1.241289199,7,,,,,,,,,198,9
30170,2024,대전광역시 서구,,,,,,,,,15.86,5,,,,,,,,,,,,,,,,,-1.424606563,4,,,,,,,,,176,9
30200,2024,대전광역시 유성구,,,,,,,,,25.82,7,,,,,,,,,,,,,,,,,0.408695746,6,,,,,,,,,102,7
30230,2024,대전광역시 대덕구,,,,,,,,,14.16,5,,,,,,,,,,,,,,,,,-0.690179946,5,,,,,,,,,52,5
31110,2024,울산광역시 중구,,,,,,,,,14.05,5,,,,,,,,,,,,,,,,,-0.593719807,5,,,,,,,,,84,6
31140,2024,울산광역시 남구,,,,,,,,,26.35,7,,,,,,,,,,,,,,,,,-0.690424258,5,,,,,,,,,168,8
31170,2024,울산광역시 동구,,,,,,,,,15.68,5,,,,,,,,,,,,,,,,,-0.890370999,4,,,,,,,,,34,5
31200,2024,울산광역시 북구,,,,,,,,,23.92,6,,,,,,,,,,,,,,,,,-0.168112247,5,,,,,,,,,35,5
31710,2024,울산광역시 울주군,,,,,,,,,32.53,8,,,,,,,,,,,,,,,,,0.085463836,6,,,,,,,,,41,5
36110,2024,세종특별자치시,,,,,,,,,57.55,10,,,,,,,,,,,,,,,,,0.718737602,7,,,,,,,,,370,10
41110,2024,경기도 수원시,,,,,,,,,39.84,9,,,,,,,,,,,,,,,,,-0.434952075,5,,,,,,,,,191,9
41130,2024,경기도 성남시,,,,,,,,,57.21,10,,,,,,,,,,,,,,,,,-0.725841695,5,,,,,,,,,103,7
41150,2024,경기도 의정부시,,,,,,,,,23.23,6,,,,,,,,,,,,,,,,,-0.433801388,5,,,,,,,,,104,7
41170,2024,경기도 안양시,,,,,,,,,35.1,8,,,,,,,,,,,,,,,,,1.986910863,8,,,,,,,,,123,7
41190,2024,경기도 부천시,,,,,,,,,28.47,7,,,,,,,,,,,,,,,,,-1.214285158,4,,,,,,,,,39,5
41210,2024,경기도 광명시,,,,,,,,,34.75,8,,,,,,,,,,,,,,,,,-0.718992548,5,,,,,,,,,82,6
41220,2024,경기도 평택시,,,,,,,,,43.55,10,,,,,,,,,,,,,,,,,1.069072902,7,,,,,,,,,22,3
41250,2024,경기도 동두천시,,,,,,,,,14.05,5,,,,,,,,,,,,,,,,,-1.316244041,4,,,,,,,,,145,8
41270,2024,경기도 안산시,,,,,,,,,34.61,8,,,,,,,,,,,,,,,,,-1.36952749,4,,,,,,,,,223,10
41280,2024,경기도 고양시,,,,,,,,,33.68,8,,,,,,,,,,,,,,,,,-0.378462229,5,,,,,,,,,25,5
41290,2024,경기도 과천시,,,,,,,,,41.71,10,,,,,,,,,,,,,,,,,4.875339134,10,,,,,,,,,34,5
41310,2024,경기도 구리시,,,,,,,,,31.51,8,,,,,,,,,,,,,,,,,0.054044798,6,,,,,,,,,101,7
41360,2024,경기도 남양주시,,,,,,,,,28.98,7,,,,,,,,,,,,,,,,,0.184168348,6,,,,,,,,,40,5
41370,2024,경기도 오산시,,,,,,,,,31.4,8,,,,,,,,,,,,,,,,,5.009398302,10,,,,,,,,,60,5
41390,2024,경기도 시흥시,,,,,,,,,38.5,9,,,,,,,,,,,,,,,,,-0.496012599,5,,,,,,,,,60,5
41410,2024,경기도 군포시,,,,,,,,,29.65,7,,,,,,,,,,,,,,,,,-2.018512802,4,,,,,,,,,27,5
41430,2024,경기도 의왕시,,,,,,,,,35.51,9,,,,,,,,,,,,,,,,,-2.923851691,4,,,,,,,,,56,5
41450,2024,경기도 하남시,,,,,,,,,47.75,10,,,,,,,,,,,,,,,,,-0.415653865,5,,,,,,,,,98,7
41460,2024,경기도 용인시,,,,,,,,,49.73,10,,,,,,,,,,,,,,,,,0.963196128,7,,,,,,,,,78,6
41480,2024,경기도 파주시,,,,,,,,,29.71,7,,,,,,,,,,,,,,,,,2.767216629,9,,,,,,,,,41,5
41500,2024,경기도 이천시,,,,,,,,,34.56,8,,,,,,,,,,,,,,,,,0.282319516,6,,,,,,,,,32,5
41550,2024,경기도 안성시,,,,,,,,,29.91,7,,,,,,,,,,,,,,,,,2.728552351,9,,,,,,,,,48,5
41570,2024,경기도 김포시,,,,,,,,,33.78,8,,,,,,,,,,,,,,,,,0.075382097,6,,,,,,,,,94,6
41590,2024,경기도 화성시,,,,,,,,,50.19,10,,,,,,,,,,,,,,,,,2.132385652,9,,,,,,,,,48,5
